accession	cancer	sample	title	description
GSE93601	breast	1110	Alcohol Consumption and Breast Tumor Gene Expression	Investigating the association of alcohol and gene expression of breast tumors and tumor-adjacent tissues.
GSE50832	breast	598	Gene Expression Profiling Reveals Epithelial Mesenchymal Transition (EMT) Genes Can Selectively Differentiate Eribulin Sensitive Breast Cancer Cells	This SuperSeries is composed of the SubSeries listed below.
GSE68661	ovarian	527	caArray_EXP-485: TCGA Analysis of Gene Expression for Ovarian Serous Cystadenocarcinoma Using Affymetrix HT_HG-U133A	TCGA Analysis of RNA Expression for Glioblastoma Multiforme Using Affymetrix HT_HG-U133A
GSE54002	breast	433	Gene expression profiling of LCM captured breast cancer cells	The purpose of this study is to obtain comprehensive gene expression profiles in breast cancer. Mammary gland cells were specifically isolated from 433 clinical tissue samples by laser capture microdissection (LCM). Total RNAs were extracted from LCM captured samples. We investigated gene expression profiles in 417 patients with breast cancer and 16 non-tumor tissues as a normal control using an Affymetrix GeneChip.
GSE78958	breast	424	Effect of obesity on molecular characteristics of invasive breast tumors: gene expression analysis of 405 tumors by BMI	Background: Obesity is a risk factor for breast cancer in postmenopausal women and is associated with decreased survival and less favorable clinical characteristics such as greater tumor burden, higher grade, and poor prognosis, regardless of menopausal status. Despite the negative impact of obesity on clinical outcome, molecular mechanisms through which excess adiposity influences breast cancer etiology are not well-defined. more...
GSE50705	breast	351	Xenoestrogen Dose-dependent Transcriptomal Changes in MCF-7 Human Breast Cancer Cells	Transcriptome analysis of MCF-7 cells exposed for 48 hours to various concentrations of xenoestrogen chemicals. Although biological effects of endocrine disrupting chemicals (EDCs) are often observed at unexpectedly low doses with occasional non-monotonic dose-response characteristics, transcriptome-wide profiles of sensitivities or dose-dependent behaviors of the EDC responsive genes have remained unexplored. more...
GSE54329	breast	335	Interleukin-6 is a Potential Therapeutic Target in Interleukin-6 Dependent Estrogen Receptor-alpha Positive Breast Cancer [cell lines]	Interleukin-6 (IL-6) is an important growth factor for estrogen receptor-alpha (ERα) positive breast cancer, and elevated serum IL-6 is associated with poor prognosis. We firstly demonstrated that pSTAT3 is the primary downstream IL-6 signaling pathway in ERα-positive breast cancer, using ten different breast cancer cell lines.  Three-dimensional cultures of these cell lines were also used to develop a 17-gene IL-6 specific gene signature that could be used to identify IL-6 driven disease. more...
GSE47862	breast	321	Expression profiling of peripheral blood gene expression of women with hereditary breast cancer and controls	This SuperSeries is composed of the SubSeries listed below.
GSE2845	breast	311	Human breast tumor	subpopulation of breat cancer using gene expression data and clinical data Keywords: breast cancer survival and metastasis analysis
GSE49481	breast	253	RNA Profiles Reveals Familial Aggregation of Molecular Subtypes in non-BRCA1/2 Breast Cancer Families	In more than 70% of families with a strong history of breast and ovarian cancers, pathogenic mutation in BRCA1 or BRCA2 cannot be identified, even though hereditary factors are expected to be involved. It has been proposed that tumors with similar molecular phenotypes also share similar pathophysiological mechanisms. Grouping into molecularly homogeneous subsets may therefore be of potential value for further genetic analysis in order to identify new high penetrance breast cancer genes. more...
GSE29210	breast	199	Prediction of Breast Cancer Estrogen Receptor Status using Machine Learning	Gene expression profiles were generated from 199 primary breast cancer patients. Samples 1-176 were used in another study, GEO Series GSE22820, and form the training data set in this study. Sample numbers 200-222 form a validation set. This data is used to model a machine learning classifier for Estrogen Receptor Status.
GSE50831	ovarian	189	Ovarian cancer cell lines treated with eribulin and paclitaxel	Eribulin mesylate is a synthetic macrocyclic ketone analog of the marine sponge natural product halichondrin B. Eribulin is a mechanistically unique inhibitor of microtubule dynamics, leading to inhibition of microtubule growth in the absence of effects on microtubule shortening at microtubule plus ends, and formation of nonproductive tubulin aggregates. In this study, we investigated whether selective signal pathways were associated with eribulin activity compared to paclitaxel, which stabilizes microtubules, based on gene expression profiling of cell line panels of breast, endometrial, and ovarian cancer in vitro.
GSE22820	breast	186	Gene expression breast cancer	Gene expression profiles were generated from 176 primary breast cancer patients and 10 normal breast samples. This data is used to investigate the clinial relevance of genes of interest from in vitro studies, including FABP5 and DDX1.
GSE53963	ovarian	174	Gene Expression Profiling of Human High-Grade Serous Ovarian Tumor Samples	The goal of the study was to further delineate the molecular signatures associated with high-grade serous ovarian cancer in order to develop validated clinically useful prognostic signatures with the potential to guide therapy decisions.   Fresh frozen samples were prospectively collected from a series of 174 consecutive women with high-grade serous ovarian, primary peritonial, or fallopian tube cancer who underwent surgery by a gynecologic oncologist at Mayo Clinic betweern 1994 and 2005. more...
